|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |    Reference |
| NGFS034045-353007 |    55.188900 |   -35.502000 | 03:40:45.34 | -35:30:07.20 |  21.68 |  -9.83 |     0.67 |       3.485 |    0.338 |              |
| NGFS034050-352318 |    55.206793 |   -35.388438 | 03:40:49.63 | -35:23:18.38 |  21.81 |  -9.70 |     0.33 |       2.998 |    0.291 |              |
| NGFS034050-350126 |    55.207520 |   -35.023855 | 03:40:49.80 | -35:01:25.88 |  18.60 | -12.91 |     0.68 |       7.432 |    0.721 |       FCC251 |
| NGFS034053-350704 |    55.220374 |   -35.117729 | 03:40:52.89 | -35:07:03.82 |  18.82 | -12.69 |     1.08 |       7.764 |    0.753 |              |
| NGFS034057-344248 |    55.236268 |   -34.713218 | 03:40:56.70 | -34:42:47.58 |  21.35 | -10.16 |     0.41 |       2.259 |    0.219 |              |
| NGFS034058-361959 |    55.242253 |   -36.332917 | 03:40:58.14 | -36:19:58.50 |  22.61 |  -8.90 |     0.55 |       2.272 |    0.220 |              |
| NGFS034104-345715 |    55.266001 |   -34.954146 | 03:41:03.84 | -34:57:14.93 |  19.13 | -12.38 |     0.68 |       6.065 |    0.588 |       FCC256 |
| NGFS034104-353851 |    55.266536 |   -35.647586 | 03:41:03.97 | -35:38:51.31 |  17.43 | -14.08 |     0.99 |       6.175 |    0.599 |       FCC257 |
| NGFS034106-353623 |    55.276093 |   -35.606365 | 03:41:06.26 | -35:36:22.91 |  22.55 |  -8.96 |     0.27 |       2.733 |    0.265 |              |
| NGFS034107-354125 |    55.278800 |   -35.690300 | 03:41:06.91 | -35:41:25.08 |  19.05 | -12.46 |     0.87 |       7.751 |    0.752 |       FCC258 |
| NGFS034112-360409 |    55.299609 |   -36.069294 | 03:41:11.91 | -36:04:09.46 |  21.10 | -10.41 |     0.66 |       3.553 |    0.345 |              |
| NGFS034115-352703 |    55.311188 |   -35.450948 | 03:41:14.69 | -35:27:03.41 |  19.69 | -11.82 |     0.72 |       3.879 |    0.376 |              |
| NGFS034117-353854 |    55.322093 |   -35.648292 | 03:41:17.30 | -35:38:53.85 |  22.96 |  -8.55 |     0.49 |       1.681 |    0.163 |              |
| NGFS034121-355655 |    55.339077 |   -35.948656 | 03:41:21.38 | -35:56:55.16 |  17.13 | -14.38 |     0.82 |       8.863 |    0.859 |       FCC262 |
| NGFS034123-350020 |    55.344006 |   -35.005584 | 03:41:22.56 | -35:00:20.10 |  22.19 |  -9.32 |     0.62 |       3.785 |    0.367 |              |
| NGFS034123-355348 |    55.345187 |   -35.896656 | 03:41:22.84 | -35:53:47.96 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS034124-354548 |    55.348314 |   -35.763366 | 03:41:23.60 | -35:45:48.12 |  21.73 |  -9.78 |     1.01 |       4.184 |    0.406 |              |
| NGFS034124-360450 |    55.349458 |   -36.080581 | 03:41:23.87 | -36:04:50.09 |  20.65 | -10.86 |     1.22 |       5.578 |    0.541 |              |
| NGFS034126-352247 |    55.359895 |   -35.379584 | 03:41:26.37 | -35:22:46.50 |  21.02 | -10.49 |     0.62 |       3.038 |    0.295 |              |
| NGFS034127-345500 |    55.362062 |   -34.916582 | 03:41:26.89 | -34:54:59.70 |  21.80 |  -9.71 |     0.66 |       2.825 |    0.274 |              |
| NGFS034128-354313 |    55.366334 |   -35.720336 | 03:41:27.92 | -35:43:13.21 |  17.82 | -13.69 |     1.04 |      11.191 |    1.085 |              |
| NGFS034141-352108 |    55.419261 |   -35.352290 | 03:41:40.62 | -35:21:08.24 |  18.96 | -12.55 |     0.76 |       7.054 |    0.684 |              |
| NGFS034146-353055 |    55.443722 |   -35.515360 | 03:41:46.49 | -35:30:55.30 |  21.24 | -10.27 |     0.88 |       6.835 |    0.663 |              |
| NGFS034150-353207 |    55.458626 |   -35.535276 | 03:41:50.07 | -35:32:06.99 |  18.60 | -12.91 |     0.70 |       6.070 |    0.589 |              |
| NGFS034153-345251 |    55.472189 |   -34.880948 | 03:41:53.33 | -34:52:51.41 |  18.76 | -12.75 |     1.26 |       3.096 |    0.300 |              |
| NGFS034157-355322 |    55.485605 |   -35.889438 | 03:41:56.55 | -35:53:21.98 |  21.79 |  -9.72 |     0.51 |       2.435 |    0.236 |              |
| NGFS034157-351733 |    55.488894 |   -35.292364 | 03:41:57.33 | -35:17:32.51 |  17.82 | -13.69 |     0.68 |      13.371 |    1.296 |       FCC269 |
| NGFS034211-352635 |    55.546540 |   -35.443142 | 03:42:11.17 | -35:26:35.31 |  18.15 | -13.36 |     1.02 |      18.944 |    1.837 |       FCC272 |
| NGFS034219-353340 |    55.579554 |   -35.561026 | 03:42:19.09 | -35:33:39.69 |  18.82 | -12.69 |     0.65 |       6.864 |    0.666 |       FCC275 |
| NGFS034233-353155 |    55.637498 |   -35.531854 | 03:42:33.00 | -35:31:54.67 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS034235-355906 |    55.646015 |   -35.985095 | 03:42:35.04 | -35:59:06.34 |  18.85 | -12.66 |     0.76 |       8.663 |    0.840 |              |
| NGFS034237-355721 |    55.653783 |   -35.955917 | 03:42:36.91 | -35:57:21.30 |  18.17 | -13.34 |     0.63 |       7.519 |    0.729 |       FCC280 |
| NGFS034239-355205 |    55.660661 |   -35.868071 | 03:42:38.56 | -35:52:05.06 |  16.99 | -14.52 |     1.26 |      11.162 |    1.082 |       FCC281 |
| NGFS034239-354551 |    55.661102 |   -35.764146 | 03:42:38.66 | -35:45:50.93 |  22.35 |  -9.16 |     0.73 |       2.646 |    0.257 |              |
| NGFS034243-353226 |    55.678970 |   -35.540671 | 03:42:42.95 | -35:32:26.42 |  19.94 | -11.57 |     0.76 |       4.471 |    0.434 |    WFLSB11-2 |
| NGFS034247-352323 |    55.696985 |   -35.389707 | 03:42:47.28 | -35:23:22.95 |  21.20 | -10.31 |     0.76 |       4.216 |    0.409 |    WFLSB11-7 |
| NGFS034300-353809 |    55.751894 |   -35.635791 | 03:43:00.45 | -35:38:08.85 |  21.53 |  -9.98 |     0.61 |       6.354 |    0.616 |              |
| NGFS034314-353109 |    55.806295 |   -35.519108 | 03:43:13.51 | -35:31:08.79 |  17.24 | -14.27 |     1.20 |       9.820 |    0.952 |       FCC287 |
| NGFS034335-354028 |    55.897636 |   -35.674368 | 03:43:35.43 | -35:40:27.72 |    nan |    nan |      nan |         nan |      nan |              |
| NGFS033705-343606 |    54.269670 |   -34.601697 | 03:37:04.72 | -34:36:06.11 |   0.00 |   0.00 |     0.00 |       0.000 |    0.000 |       FCC187 |
| NGFS033457-351224 |    53.738396 |   -35.206796 | 03:34:57.22 | -35:12:24.47 |  18.71 | -12.80 |     0.75 |       2.441 |    0.237 |       FCC141 |
| NGFS034132-353523 |    55.381966 |   -35.589611 | 03:41:31.67 | -35:35:22.60 |  15.91 | -15.60 |     0.99 |      10.499 |    1.018 |       FCC264 |
| NGFS033613-360959 |    54.053605 |   -36.166272 | 03:36:12.87 | -36:09:58.58 |  15.38 | -16.13 |     1.51 |      10.665 |    1.034 |       FCC164 |
| NGFS033819-350745 |    54.580167 |   -35.129050 | 03:38:19.24 | -35:07:44.58 |  14.91 | -16.60 |     1.43 |       9.476 |    0.919 |       FCC207 |
| NGFS034001-344529 |    55.005457 |   -34.758155 | 03:40:01.31 | -34:45:29.36 |  16.43 | -15.08 |     0.98 |       9.728 |    0.943 |       FCC230 |
| NGFS033706-352031 |    54.275000 |   -35.342000 | 03:37:06.00 | -35:20:31.20 |    nan |    nan |      nan |         nan |      nan |     WFLSB4-3 |
| NGFS034253-353317 |    55.720300 |   -35.554600 | 03:42:52.87 | -35:33:16.56 |    nan |    nan |      nan |         nan |      nan |    WFLSB11-8 |
| NGFS033842-352329 |    54.673700 |   -35.391500 | 03:38:41.69 | -35:23:29.40 |    nan |    nan |      nan |         nan |      nan |     WFLSB1-9 |
